Trial,Seed,Policy,Generated,Delivered,Expired,Dropped,Contact_Failures,Optical_Link_Failures,Reliability,Delivered_Bits,Mean_Delivered_Latency_s
77,100076,B1,200,159,0,41,41,0,0.79500000000000004,162816,363.26627175840247
77,100076,B2,200,159,0,41,41,0,0.79500000000000004,162816,363.26627175840247
77,100076,B3,200,159,0,41,41,0,0.79500000000000004,162816,363.26627175840247
77,100076,B4,200,159,0,41,41,0,0.79500000000000004,162816,363.26627175840247
78,100077,B1,200,174,0,26,26,0,0.87,178176,1214.7912342923826
78,100077,B2,200,174,0,26,26,0,0.87,178176,1214.7912342923826
78,100077,B3,200,174,0,26,26,0,0.87,178176,1214.7912342923826
78,100077,B4,200,174,0,26,26,0,0.87,178176,1214.7912342923826
79,100078,B1,200,191,0,9,9,0,0.95499999999999996,195584,285.37323995700029
79,100078,B2,200,191,0,9,9,0,0.95499999999999996,195584,285.37323995700029
79,100078,B3,200,191,0,9,9,0,0.95499999999999996,195584,285.37323995700029
79,100078,B4,200,191,0,9,9,0,0.95499999999999996,195584,285.37323995700029
8,100007,B1,200,169,0,31,31,0,0.84499999999999997,173056,603.0651434698384
8,100007,B2,200,169,0,31,31,0,0.84499999999999997,173056,603.0651434698384
8,100007,B3,200,169,0,31,31,0,0.84499999999999997,173056,603.0651434698384
8,100007,B4,200,169,0,31,31,0,0.84499999999999997,173056,603.0651434698384
80,100079,B1,200,190,0,10,10,0,0.94999999999999996,194560,1076.8624999915462
80,100079,B2,200,190,0,10,10,0,0.94999999999999996,194560,1076.8624999915462
80,100079,B3,200,190,0,10,10,0,0.94999999999999996,194560,1076.8624999915462
80,100079,B4,200,190,0,10,10,0,0.94999999999999996,194560,1076.8624999915462
81,100080,B1,200,184,0,16,16,0,0.92000000000000004,188416,835.39171320036985
81,100080,B2,200,184,0,16,16,0,0.92000000000000004,188416,835.39171320036985
81,100080,B3,200,184,0,16,16,0,0.92000000000000004,188416,835.39171320036985
81,100080,B4,200,184,0,16,16,0,0.92000000000000004,188416,835.39171320036985
82,100081,B1,200,169,0,31,31,0,0.84499999999999997,173056,1363.0432192491794
82,100081,B2,200,169,0,31,31,0,0.84499999999999997,173056,1363.0432192491794
82,100081,B3,200,169,0,31,31,0,0.84499999999999997,173056,1363.0432192491794
